0.9000,0.1892, 0.3917, 0.0145, 0.0327, 0.5089, 1.1147, -0.2844, 1.0572, -0.1574, 3.5033, -0.0073, -0.0013, 0.1762, -0.1549, -0.0277, 0.2880, 0.0513
0.9300,0.2092, 0.4067, 0.0152, 0.0334, 0.5067, 1.1127, -0.2911, 1.0508, -0.0886, 3.6375, -0.0047, -0.0008, 0.1818, -0.0943, -0.0170, 0.2903, 0.0534
0.9600,0.2092, 0.4067, 0.0160, 0.0340, 0.5624, 1.1572, -0.2336, 1.0975, -0.0962, 3.6203, -0.0045, -0.0008, 0.1814, -0.0946, -0.0174, 0.2905, 0.0533
0.9900,0.2298, 0.4207, 0.0177, 0.0353, 0.6201, 1.1987, -0.1788, 1.1363, -0.0256, 3.7395, -0.0016, -0.0003, 0.1869, -0.0317, -0.0059, 0.2932, 0.0555
1.0200,0.2298, 0.4207, 0.0185, 0.0359, 0.6151, 1.1947, -0.1863, 1.1309, 0.0356, 3.8325, 0.0002, 0.0000, 0.1893, 0.0350, 0.0066, 0.2949, 0.0565
1.0500,0.2512, 0.4337, 0.0193, 0.0364, 0.6748, 1.2332, -0.1279, 1.1687, 0.0317, 3.8190, 0.0016, 0.0003, 0.1909, 0.0319, 0.0062, 0.2961, 0.0572
1.0800,0.2732, 0.4456, 0.0202, 0.0370, 0.6724, 1.2316, -0.1319, 1.1659, 0.0962, 3.9056, 0.0031, 0.0006, 0.1931, 0.0945, 0.0183, 0.2976, 0.0582
1.1100,0.2732, 0.4456, 0.0211, 0.0375, 0.7337, 1.2668, -0.0725, 1.1999, 0.0963, 3.8978, 0.0047, 0.0009, 0.1949, 0.0950, 0.0188, 0.2991, 0.0590
1.1400,0.2958, 0.4564, 0.0230, 0.0385, 0.7965, 1.2986, -0.0085, 1.2323, 0.1613, 3.9708, 0.0063, 0.0012, 0.1967, 0.1582, 0.0312, 0.3005, 0.0599
1.1700,0.2958, 0.4564, 0.0238, 0.0389, 0.7911, 1.2955, -0.0256, 1.2227, 0.2385, 4.0300, 0.0115, 0.0023, 0.2016, 0.2301, 0.0467, 0.3054, 0.0624
1.2000,0.3188, 0.4660, 0.0247, 0.0393, 0.8555, 1.3240, 0.0421, 1.2531, 0.2197, 4.0102, 0.0112, 0.0023, 0.2010, 0.2152, 0.0440, 0.3052, 0.0622
